x,y,prod
-46.92591857910156,117.09788513183594,2-35 Digital
-11.297510147094727,18.885194778442383,2-Team Productions
-100.43260955810547,-104.84778594970703,2.0 Entertainment
-23.687631607055664,17.442554473876953,2.1 Films
-16.627609252929688,-16.284042358398438,2.4.7. Films
-0.5839226245880127,50.50131607055664,2/35
99.7402572631836,15.576313018798828,20 Max Films
24.09975814819336,44.654109954833984,20 Steps Productions
101.04643249511719,-4.359226703643799,20/20 Visions Entertainment Group
-25.349533081054688,-128.00125122070312,20/40 Films
-103.91173553466797,68.57540130615234,200 Dollhairs
-55.58769989013672,-74.39271545410156,2000 A.D. Productions
64.05522918701172,16.232431411743164,2000 Bilder
-86.79100799560547,-96.48054504394531,2003 Productions
-149.29396057128906,-11.579839706420898,2004 Filmproduktion
-19.06633758544922,-50.34657669067383,2005 Films
65.79395294189453,-27.94978904724121,2020 Entertainment
126.10396575927734,2.464088201522827,2050 Films
150.43907165527344,7.393685817718506,207 Pictures
81.73753356933594,-92.25379943847656,2077883 Ontario
-69.15878295898438,-48.88002395629883,20ten Media
19.582887649536133,93.41332244873047,20th Century Fox
-7.964048862457275,25.517107009887695,20th Century Fox Argentina
44.34486389160156,42.2291259765625,20th Century Fox Brazil
-19.88272476196289,-23.270170211791992,20th Century Fox Film Corporation
31.395288467407227,-6.397298812866211,20th Century Fox Television
27.80914878845215,51.792091369628906,20th Century Pictures
-36.01210021972656,-19.360464096069336,20th Century Studios
